"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0세","2025년10월_계_1세","2025년10월_계_2세","2025년10월_계_3세","2025년10월_계_4세","2025년10월_계_5세","2025년10월_계_6세","2025년10월_계_7세","2025년10월_계_8세","2025년10월_계_9세","2025년10월_계_10세","2025년10월_계_11세","2025년10월_계_12세","2025년10월_계_13세","2025년10월_계_14세","2025년10월_계_15세","2025년10월_계_16세","2025년10월_계_17세","2025년10월_계_18세","2025년10월_계_19세","2025년10월_계_20세","2025년10월_계_21세","2025년10월_계_22세","2025년10월_계_23세","2025년10월_계_24세","2025년10월_계_25세","2025년10월_계_26세","2025년10월_계_27세","2025년10월_계_28세","2025년10월_계_29세","2025년10월_계_30세","2025년10월_계_31세","2025년10월_계_32세","2025년10월_계_33세","2025년10월_계_34세","2025년10월_계_35세","2025년10월_계_36세","2025년10월_계_37세","2025년10월_계_38세","2025년10월_계_39세","2025년10월_계_40세","2025년10월_계_41세","2025년10월_계_42세","2025년10월_계_43세","2025년10월_계_44세","2025년10월_계_45세","2025년10월_계_46세","2025년10월_계_47세","2025년10월_계_48세","2025년10월_계_49세","2025년10월_계_50세","2025년10월_계_51세","2025년10월_계_52세","2025년10월_계_53세","2025년10월_계_54세","2025년10월_계_55세","2025년10월_계_56세","2025년10월_계_57세","2025년10월_계_58세","2025년10월_계_59세","2025년10월_계_60세","2025년10월_계_61세","2025년10월_계_62세","2025년10월_계_63세","2025년10월_계_64세","2025년10월_계_65세","2025년10월_계_66세","2025년10월_계_67세","2025년10월_계_68세","2025년10월_계_69세","2025년10월_계_70세","2025년10월_계_71세","2025년10월_계_72세","2025년10월_계_73세","2025년10월_계_74세","2025년10월_계_75세","2025년10월_계_76세","2025년10월_계_77세","2025년10월_계_78세","2025년10월_계_79세","2025년10월_계_80세","2025년10월_계_81세","2025년10월_계_82세","2025년10월_계_83세","2025년10월_계_84세","2025년10월_계_85세","2025년10월_계_86세","2025년10월_계_87세","2025년10월_계_88세","2025년10월_계_89세","2025년10월_계_90세","2025년10월_계_91세","2025년10월_계_92세","2025년10월_계_93세","2025년10월_계_94세","2025년10월_계_95세","2025년10월_계_96세","2025년10월_계_97세","2025년10월_계_98세","2025년10월_계_99세","2025년10월_계_100세 이상"
"대구광역시  (2700000000)","2,355,677","2,355,677","10,742","10,341","10,209","11,150","11,887","13,001","14,625","15,911","17,519","20,039","20,751","20,602","20,779","22,752","21,993","21,182","20,274","21,772","22,339","20,510","20,662","22,638","23,596","23,358","26,335","28,480","26,372","27,031","28,426","29,282","29,747","29,761","30,207","31,037","28,987","28,157","27,491","25,709","26,714","27,148","27,304","28,854","32,603","36,276","36,596","37,879","35,732","32,871","34,590","34,565","36,603","40,319","40,900","41,528","43,769","42,910","43,157","44,231","40,979","39,203","39,938","37,165","39,115","40,409","43,559","41,937","38,148","32,758","34,143","31,318","31,790","25,837","25,062","26,398","19,802","19,820","21,009","19,519","18,192","11,946","12,106","13,565","13,763","14,324","11,119","9,548","8,831","7,301","6,167","5,070","4,321","3,153","2,327","1,880","1,249","878","646","440","296","155","288"
"대구광역시 중구 (2711000000)","100,833","100,833","940","843","763","820","722","794","811","787","837","884","824","769","725","800","734","694","661","739","758","737","804","1,026","1,119","1,174","1,375","1,511","1,490","1,595","1,714","1,747","1,777","1,852","2,022","2,106","1,960","1,899","1,746","1,620","1,588","1,601","1,556","1,480","1,711","1,633","1,618","1,600","1,425","1,245","1,296","1,321","1,355","1,583","1,516","1,536","1,515","1,476","1,394","1,396","1,265","1,171","1,210","1,095","1,151","1,216","1,262","1,245","1,114","1,020","1,134","1,038","1,023","888","837","926","676","748","760","788","746","548","514","620","582","578","431","398","363","324","246","224","175","125","92","95","49","37","25","28","16","3","23"
"대구광역시 동구 (2714000000)","339,631","339,631","1,715","1,635","1,593","1,692","1,787","1,861","2,047","2,154","2,358","2,539","2,678","2,546","2,511","2,745","2,664","2,610","2,479","2,604","2,667","2,438","2,549","2,773","3,005","2,958","3,339","3,742","3,590","3,736","4,111","4,348","4,534","4,654","4,744","4,859","4,602","4,481","4,312","3,938","4,082","4,030","3,986","4,106","4,678","5,092","5,158","5,291","4,816","4,481","4,732","4,592","4,981","5,342","5,531","5,650","5,998","5,799","5,833","6,115","5,557","5,439","5,687","5,266","5,574","5,788","6,404","6,352","5,818","5,138","5,358","5,055","5,202","4,278","4,083","4,358","3,324","3,288","3,630","3,311","3,063","2,016","2,102","2,364","2,369","2,390","1,864","1,657","1,448","1,181","1,049","829","695","531","368","290","199","121","103","71","47","18","55"
"대구광역시 서구 (2717000000)","163,395","163,395","673","609","587","609","596","633","691","717","827","933","922","891","921","970","987","911","948","1,018","1,059","1,006","984","1,098","1,158","1,264","1,471","1,615","1,600","1,784","1,860","1,970","2,102","2,075","2,171","2,337","2,066","1,902","1,797","1,617","1,709","1,691","1,664","1,716","1,878","2,083","2,043","2,219","2,002","1,850","1,985","2,008","2,291","2,466","2,629","2,645","2,867","2,963","3,168","3,305","3,192","3,239","3,336","3,227","3,345","3,608","3,963","3,722","3,391","2,919","3,085","2,864","2,959","2,424","2,361","2,602","1,857","1,825","2,000","1,853","1,661","1,066","1,105","1,306","1,264","1,323","979","808","775","625","527","418","333","242","178","141","98","72","41","40","29","10","21"
"대구광역시 남구 (2720000000)","135,692","135,692","473","460","464","445","462","517","495","549","606","662","667","706","728","786","800","783","784","834","941","1,041","1,037","1,316","1,443","1,429","1,600","1,815","1,721","1,775","1,895","2,006","1,927","1,916","1,841","1,860","1,704","1,641","1,517","1,332","1,382","1,383","1,382","1,437","1,607","1,792","1,807","1,817","1,737","1,606","1,741","1,713","1,874","2,099","2,226","2,314","2,409","2,461","2,327","2,529","2,396","2,084","2,280","2,107","2,351","2,477","2,716","2,562","2,520","2,228","2,384","2,116","2,373","1,899","1,893","1,958","1,513","1,481","1,622","1,598","1,467","993","973","1,103","1,184","1,182","990","822","779","617","559","432","378","295","211","161","115","72","73","43","23","15","26"
"대구광역시 북구 (2723000000)","410,934","410,934","1,788","1,683","1,627","1,853","1,944","2,126","2,340","2,657","2,863","3,387","3,505","3,527","3,561","3,891","3,843","3,673","3,615","3,918","4,173","3,996","4,265","4,722","5,085","5,032","5,505","5,941","5,210","5,100","5,340","5,170","5,357","5,200","5,177","5,239","4,911","4,633","4,670","4,304","4,371","4,501","4,498","4,812","5,331","6,027","6,163","6,446","6,112","5,680","6,136","6,264","6,842","7,637","7,747","7,855","8,118","8,044","7,851","8,173","7,426","7,116","7,062","6,380","6,838","7,051","7,494","7,125","6,352","5,487","5,452","5,034","4,885","4,120","3,856","4,048","3,114","3,083","3,342","3,085","2,794","1,899","1,922","2,194","2,166","2,357","1,761","1,538","1,430","1,086","894","742","639","467","366","284","193","138","87","68","49","25","46"
"대구광역시 수성구 (2726000000)","409,491","409,491","1,454","1,448","1,555","1,862","2,026","2,257","2,861","3,261","3,628","4,169","4,441","4,608","4,845","5,208","4,960","4,680","4,531","4,967","4,878","4,271","3,976","4,268","4,271","4,077","4,554","4,812","4,263","4,276","4,348","4,381","4,302","4,279","4,319","4,335","4,160","4,147","4,094","3,933","4,334","4,418","4,754","5,174","5,859","6,776","6,943","7,214","6,996","6,398","6,637","6,774","7,010","7,489","7,578","7,655","8,133","7,793","7,733","7,629","7,013","6,414","6,531","6,139","6,285","6,095","6,419","6,428","5,893","5,111","5,379","4,948","4,966","4,070","4,056","4,075","3,156","3,232","3,302","3,118","3,034","1,937","1,995","2,221","2,299","2,313","1,869","1,597","1,439","1,299","1,076","889","801","577","444","345","226","154","127","76","55","43","43"
"대구광역시 달서구 (2729000000)","518,434","518,434","2,217","2,101","2,044","2,109","2,419","2,606","2,982","3,248","3,630","4,407","4,605","4,532","4,520","5,161","5,006","4,986","4,787","5,050","5,324","4,929","4,962","5,478","5,519","5,456","6,219","6,544","6,132","6,184","6,396","6,747","6,688","6,591","6,668","6,721","6,148","5,977","5,751","5,477","5,510","5,647","5,589","6,059","6,913","7,796","7,768","8,035","7,841","7,425","7,685","7,814","8,052","9,178","9,303","9,414","10,126","9,843","10,212","10,323","9,666","9,224","9,288","8,688","9,119","9,387","10,125","9,696","8,578","7,109","7,466","6,687","6,836","5,417","5,335","5,529","3,998","4,023","4,111","3,781","3,556","2,284","2,237","2,499","2,521","2,697","2,039","1,766","1,667","1,361","1,132","994","798","532","415","342","213","166","118","70","42","24","44"
"대구광역시 달성군 (2771000000)","254,935","254,935","1,426","1,519","1,544","1,718","1,893","2,157","2,352","2,499","2,726","3,009","3,053","2,954","2,900","3,099","2,918","2,749","2,388","2,548","2,437","2,013","2,000","1,885","1,925","1,887","2,189","2,391","2,270","2,484","2,647","2,817","2,943","3,055","3,164","3,477","3,316","3,381","3,513","3,385","3,606","3,762","3,744","3,959","4,478","4,932","4,937","5,079","4,626","4,000","4,207","3,862","3,975","4,279","4,104","4,146","4,284","4,183","4,218","4,318","4,017","4,006","3,965","3,742","3,918","4,168","4,461","4,094","3,799","3,161","3,255","2,953","2,944","2,261","2,163","2,365","1,743","1,729","1,822","1,575","1,465","959","977","975","1,032","1,070","882","700","685","563","487","374","331","272","178","163","113","88","53","36","21","14","26"
"대구광역시 군위군 (2772000000)","22,332","22,332","56","43","32","42","38","50","46","39","44","49","56","69","68","92","81","96","81","94","102","79","85","72","71","81","83","109","96","97","115","96","117","139","101","103","120","96","91","103","132","115","131","111","148","145","159","178","177","186","171","217","223","246","266","313","319","348","421","443","447","510","579","521","534","619","715","713","683","585","630","623","602","480","478","537","421","411","420","410","406","244","281","283","346","414","304","262","245","245","197","168","171","112","75","59","43","30","19","8","14","3","4"
